Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size_company,Founded,Type of ownership,Industry,Sector,Revenue
Senior Health Data Analyst,$140K - $175K (Employer est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We a",3.8,Nuna,"San Francisco, CA",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,$120K (Employer est.),"An Introduction to Forage
At Forage, we believe that talent is evenly distributed, but opportunity i",4.4,Forage,"San Francisco, CA",1 to 50 Employees,2016,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable
"AIML - Software Engineer, Machine Learning Platform and Infrastructure",$143K - $200K (Glassdoor est.),"Summary
Posted: Feb 2, 2023
Weekly Hours: 40
Role Number:200461048
Do you want to make Siri and Appl",4.2,Apple,"San Francisco, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Senior Staff Data Scientist,$128K - $178K (Glassdoor est.),"Want to help us, help others? We're hiring!
GoFundMe is a global community of over 100 million peopl",4.3,GoFundMe,"San Francisco, CA",201 to 500 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Manager of Data Science,$180K - $250K (Employer est.),"About the Company
Here at Sojern, we are on a mission to empower travel marketers to move travelers",4.4,Sojern,"San Francisco, CA",201 to 500 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD)
Machine Learning Engineer,$91K - $148K (Glassdoor est.),"Machine Learning Engineer - Hybrid San Francisco, CA
Our Machine Learning /AI Team is looking for a",nan,Somosotech IT Co Limited,"South San Francisco, CA",nan,nan,nan,nan,nan,nan
Data Scientist (Computational Biologist),$139K - $189K (Employer est.),The Role: BigHat Biosciences is seeking an exceptional Data Scientist to join our growing team. This,4.0,BigHat Biosciences,"San Mateo, CA",1 to 50 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
"Senior Data Scientist, Finance",$109K - $161K (Glassdoor est.),"About Rippling
Rippling is the first way for businesses to manage all of their HR & IT—payroll, bene",3.3,Rippling,"San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
Senior Data Analyst,$154K - $174K (Employer est.),"We believe that when passionate people are able to spend less time struggling with technology, they",3.8,Cisco Meraki,"San Francisco, CA",1001 to 5000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Scientist (Remote),,"Company Introduction
Verikai is an insurance technology company changing the way the industry views",5.0,Verikai,"San Francisco, CA",1 to 50 Employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,nan
